TickerName,Date,Estimate,Reported,SurpriseP,Group
EQH,2020-11-04,1.16,1.24,6.9,Meet
MMM,2020-10-27,2.27,2.43,7,Meet
CSCO,2020-11-12,0.71,0.76,7,Meet
ADBE,2020-09-15,2.4,2.57,7,Meet
CTVA,2020-11-04,-0.42,-0.39,7.1,Meet
AMT,2020-10-29,2.08,2.23,7.2,Meet
TRV,2020-10-20,2.91,3.12,7.2,Meet
WRK,2020-11-05,0.68,0.73,7.3,Meet
CUBE,2020-11-05,0.41,0.44,7.3,Meet
EQIX,2020-10-28,6.03,6.48,7.4,Meet
KR,2020-12-03,0.66,0.71,7.5,Meet
HP,2020-11-19,-0.8,-0.74,7.5,Meet
HUM,2020-11-03,2.86,3.08,7.6,Meet
RETA,2020-11-09,-2.1,-1.94,7.6,Meet
A,2020-11-23,0.91,0.98,7.6,Meet
CTSH,2020-10-28,0.9,0.97,7.7,Meet
XLNX,2020-10-21,0.76,0.82,7.8,Meet
TREX,2020-11-02,0.38,0.41,7.8,Meet
ANSS,2020-11-04,1.26,1.36,7.9,Meet
BOH,2020-10-26,0.88,0.95,7.9,Meet
IQV,2020-10-20,1.51,1.63,7.9,Meet
SPGI,2020-10-27,2.64,2.85,7.9,Meet
D,2020-11-05,1,1.08,8,Meet
VIRT,2020-11-06,0.75,0.81,8,Meet
MU,2020-09-29,1,1.08,8,Meet
OMC,2020-10-27,1.12,1.21,8,Meet
HBAN,2020-10-22,0.25,0.27,8,Meet
ORCL,2020-09-10,0.86,0.93,8.1,Meet
SWK,2020-10-27,2.67,2.89,8.2,Meet
RNG,2020-11-09,0.24,0.26,8.3,Meet
ELAN,2020-11-06,0.12,0.13,8.3,Meet
JBLU,2020-10-27,-1.91,-1.75,8.3,Meet
HRC,2020-11-06,1.08,1.17,8.3,Meet
STLD,2020-10-19,0.47,0.51,8.5,Meet
ANET,2020-11-02,2.23,2.42,8.5,Meet
MRCY,2020-11-03,0.47,0.51,8.5,Meet
SCHW,2020-10-15,0.47,0.51,8.5,Meet
ULTA,2020-12-03,1.51,1.64,8.6,Meet
EXP,2020-10-29,1.86,2.02,8.6,Meet
CSGP,2020-10-27,2.08,2.26,8.6,Meet
WBS,2020-10-22,0.69,0.75,8.7,Meet
HSY,2020-11-06,1.71,1.86,8.7,Meet
AM,2020-10-28,0.23,0.25,8.7,Meet
NEM,2020-10-29,0.79,0.86,8.8,Meet
HPE,2020-12-01,0.34,0.37,8.8,Meet
AMP,2020-10-28,1.35,1.47,8.8,Meet
ABT,2020-10-21,0.9,0.98,8.8,Meet
WSO,2020-10-22,2.53,2.76,9,Meet
NUS,2020-11-04,0.99,1.08,9,Meet
VRSK,2020-11-04,1.21,1.32,9,Meet
NLOK,2020-11-05,0.33,0.36,9,Meet
ADI,2020-11-24,1.32,1.44,9,Meet
ARD,2020-10-22,0.44,0.48,9,Meet
DNB,2020-11-05,0.22,0.24,9,Meet
LIN,2020-11-05,1.97,2.15,9.1,Meet
CMG,2020-10-21,3.44,3.76,9.3,Meet
ADSK,2020-11-24,0.95,1.04,9.4,Meet
BMY,2020-11-05,1.49,1.63,9.4,Meet
GWW,2020-10-22,4.13,4.52,9.4,Meet
SLGN,2020-10-21,0.95,1.04,9.4,Meet
VIAC,2020-11-06,0.83,0.91,9.6,Meet
MKSI,2020-10-27,1.76,1.93,9.6,Meet
LRCX,2020-10-21,5.17,5.67,9.6,Meet
BIIB,2020-10-21,8.06,8.84,9.6,Meet
MCHP,2020-11-05,1.42,1.56,9.8,Meet
REYN,2020-11-11,0.51,0.56,9.8,Meet
COST,2020-09-24,2.85,3.13,9.8,Meet
THG,2020-10-27,2.24,2.46,9.8,Meet
STZ,2020-10-01,2.51,2.76,9.9,Meet
FMC,2020-11-02,1.11,1.22,9.9,Meet
ESI,2020-10-27,0.2,0.22,10,Meet
SSNC,2020-10-28,1,1.1,10,Meet
PD,2020-12-03,-0.1,-0.09,10,Meet
WRI,2020-10-29,0.4,0.44,10,Meet
GPC,2020-10-22,1.48,1.63,10.1,Meet
KLAC,2020-10-28,2.75,3.03,10.1,Meet
TFC,2020-10-15,0.88,0.97,10.2,Meet
IVZ,2020-10-27,0.48,0.53,10.4,Meet
VRTX,2020-10-29,2.39,2.64,10.4,Meet
JNJ,2020-10-13,1.99,2.2,10.5,Meet
WEC,2020-11-03,0.76,0.84,10.5,Meet
PGR,2020-10-14,1.69,1.87,10.6,Meet
PRGO,2020-11-04,0.84,0.93,10.7,Meet
LNG,2020-11-06,-0.57,-0.87,-52.6,Miss
AVB,2020-10-28,2.16,1.05,-51.3,Miss
DRE,2020-10-28,0.39,0.19,-51.2,Miss
AMT,2020-10-29,2.08,1.04,-50,Miss
WRI,2020-10-29,0.4,0.2,-50,Miss
MSGS,2020-11-09,-0.79,-1.18,-49.3,Miss
STOR,2020-11-05,0.45,0.23,-48.8,Miss
LAMR,2020-11-05,1.18,0.62,-47.4,Miss
LSI,2020-11-05,0.99,0.52,-47.4,Miss
VER,2020-11-05,0.75,0.4,-46.6,Miss
LBRDK,2020-11-04,0.71,0.38,-46.4,Miss
MIC,2020-11-09,0.8,0.43,-46.2,Miss
ELS,2020-10-19,0.52,0.28,-46.1,Miss
IRM,2020-11-05,0.55,0.31,-43.6,Miss
ACAD,2020-11-04,-0.38,-0.54,-42.1,Miss
PFG,2020-10-26,1.47,0.85,-42.1,Miss
SUI,2020-10-21,1.43,0.83,-41.9,Miss
CUBE,2020-11-05,0.41,0.24,-41.4,Miss
PACW,2020-10-14,0.63,0.38,-39.6,Miss
FR,2020-10-21,0.46,0.28,-39.1,Miss
MRNA,2020-10-29,-0.43,-0.59,-37.2,Miss
MPW,2020-10-29,0.39,0.25,-35.9,Miss
GBT,2020-11-05,-0.72,-0.97,-34.7,Miss
REXR,2020-10-20,0.32,0.21,-34.3,Miss
APLE,2020-11-05,0.06,0.04,-33.3,Miss
PSA,2020-11-04,2.6,1.76,-32.3,Miss
SRPT,2020-11-05,-1.89,-2.5,-32.2,Miss
GLPI,2020-10-27,0.85,0.58,-31.7,Miss
SABR,2020-11-06,-0.63,-0.82,-30.1,Miss
RNR,2020-10-27,-2.03,-2.64,-30,Miss
SIX,2020-10-28,-1.06,-1.37,-29.2,Miss
HCA,2020-10-26,2.69,1.92,-28.6,Miss
EXR,2020-11-04,1.24,0.89,-28.2,Miss
ENR,2020-11-12,0.8,0.59,-26.2,Miss
SPCE,2020-11-05,-0.27,-0.34,-25.9,Miss
WPC,2020-10-30,1.14,0.85,-25.4,Miss
USFD,2020-11-02,0.2,0.15,-25,Miss
HWM,2020-11-09,0.04,0.03,-25,Miss
ALNY,2020-11-05,-1.75,-2.18,-24.5,Miss
BKNG,2020-11-05,15.98,12.27,-23.2,Miss
COLM,2020-10-29,1.22,0.94,-22.9,Miss
AGR,2020-10-20,0.41,0.32,-21.9,Miss
POST,2020-11-19,0.74,0.58,-21.6,Miss
XLRN,2020-11-05,-0.55,-0.66,-20,Miss
OXY,2020-11-09,-0.7,-0.84,-20,Miss
BEN,2020-10-27,0.69,0.56,-18.8,Miss
PK,2020-11-05,-0.53,-0.63,-18.8,Miss
RPRX,2020-11-10,0.59,0.48,-18.6,Miss
H,2020-11-04,-1.25,-1.48,-18.4,Miss
NFLX,2020-10-20,2.13,1.74,-18.3,Miss
HRB,2020-12-08,-0.93,-1.09,-17.2,Miss
SPOT,2020-10-29,-0.58,-0.68,-17.2,Miss
TFSL,2020-10-29,0.06,0.05,-16.6,Miss
VOYA,2020-11-04,1.41,1.19,-15.6,Miss
LVS,2020-10-21,-0.58,-0.67,-15.5,Miss
LYV,2020-11-05,-2.12,-2.45,-15.5,Miss
MSA,2020-10-28,1.1,0.94,-14.5,Miss
RCL,2020-10-29,-4.92,-5.62,-14.2,Miss
SMG,2020-11-04,0.07,0.06,-14.2,Miss
RE,2020-10-29,2.81,2.42,-13.8,Miss
GPS,2020-11-24,0.29,0.25,-13.7,Miss
MCY,2020-11-03,1.42,1.23,-13.3,Miss
SYF,2020-10-20,0.83,0.72,-13.2,Miss
ALK,2020-10-22,-2.86,-3.23,-12.9,Miss
ARMK,2020-11-17,-0.31,-0.35,-12.9,Miss
LLY,2020-10-27,1.76,1.54,-12.5,Miss
TNDM,2020-11-05,-0.08,-0.09,-12.5,Miss
PCG,2020-10-29,0.25,0.22,-12,Miss
WTRG,2020-11-03,0.26,0.23,-11.5,Miss
SRE,2020-11-05,1.47,1.31,-10.8,Miss
DPZ,2020-10-08,2.75,2.49,-9.4,Miss
WEX,2020-10-29,1.75,1.59,-9.1,Miss
NRZ,2020-10-26,0.34,0.31,-8.8,Miss
SPG,2020-11-09,2.25,2.05,-8.8,Miss
CHH,2020-11-05,0.72,0.66,-8.3,Miss
REG,2020-11-05,0.75,0.69,-8,Miss
VNO,2020-11-02,0.64,0.59,-7.8,Miss
ESRT,2020-10-28,0.13,0.12,-7.6,Miss
UNM,2020-10-27,1.31,1.21,-7.6,Miss
SEIC,2020-10-21,0.81,0.75,-7.4,Miss
CB,2020-10-27,2.16,2,-7.4,Miss
UAL,2020-10-14,-7.63,-8.16,-6.9,Miss
DEI,2020-11-02,0.43,0.4,-6.9,Miss
AXP,2020-10-23,1.39,1.3,-6.4,Miss
JBHT,2020-10-16,1.26,1.18,-6.3,Miss
CIEN,2020-12-10,0.64,0.6,-6.2,Miss
PPD,2020-10-27,0.32,0.3,-6.2,Miss
EQR,2020-10-27,0.82,0.77,-6.1,Miss
NNN,2020-11-02,0.66,0.62,-6,Miss
NTRS,2020-10-21,1.4,1.32,-5.7,Miss
SBNY,2020-10-20,2.78,2.62,-5.7,Miss
PXD,2020-11-04,0.18,0.17,-5.5,Miss
MSP,2020-11-23,0.19,0.18,-5.2,Miss
DAL,2020-10-13,-3.14,-3.3,-5.1,Miss
BRX,2020-11-04,0.4,0.38,-5,Miss
PPL,2020-11-05,0.61,0.58,-4.9,Miss
NCLH,2020-11-09,-2.24,-2.35,-4.9,Miss
CINF,2020-10-26,0.41,0.39,-4.8,Miss
AVB,2020-10-28,2.16,2.06,-4.6,Miss
